date,time,user,source AP,destination AP
2019-09-02,00:09:17.757,0,1,0
2019-09-02,00:13:48.144,0,0,1
2019-09-02,00:16:27.274,0,1,0
2019-09-02,00:19:20.008,0,0,1
2019-09-02,01:00:53.799,7,6,4
2019-09-02,01:01:01.765,0,1,0
2019-09-02,01:10:08.873,0,0,1
2019-09-02,01:27:18.291,0,1,0
2019-09-02,01:32:22.017,0,0,1
2019-09-02,01:44:30.093,0,1,0
2019-09-02,01:54:02.212,4,2,9
2019-09-02,01:54:18.385,4,9,0
2019-09-02,01:54:24.120,5,2,0
2019-09-02,01:54:59.032,5,0,1
2019-09-02,03:22:34.387,0,1,0
2019-09-02,03:25:14.159,0,0,1
2019-09-02,03:34:37.028,0,1,0
2019-09-02,03:56:36.458,0,0,1
2019-09-02,04:21:25.321,0,1,0
2019-09-02,04:32:29.513,0,0,1
2019-09-02,04:35:59.648,0,1,0
2019-09-02,04:40:54.268,0,0,3
2019-09-02,04:45:54.285,0,3,1
2019-09-02,05:10:27.032,0,1,0
2019-09-02,05:17:33.215,0,0,1
2019-09-02,05:27:28.899,0,1,0
2019-09-02,05:30:18.759,0,0,1
2019-09-02,05:37:08.463,0,1,0
2019-09-02,06:01:47.139,0,0,1
2019-09-02,06:13:45.126,0,1,0
2019-09-02,06:28:00.513,0,0,1
2019-09-02,06:33:40.455,0,1,0
2019-09-02,06:40:42.575,0,0,1
2019-09-02,07:18:50.237,0,1,0
2019-09-02,07:24:33.610,1,10,4
2019-09-02,07:31:14.593,0,0,1
2019-09-02,07:52:49.549,0,1,0
2019-09-02,07:55:19.994,0,0,1
2019-09-02,08:00:06.203,0,1,0
2019-09-02,08:00:52.660,79,9,0
2019-09-02,08:02:40.640,79,0,9
2019-09-02,08:02:58.802,79,9,5
2019-09-02,08:03:22.076,79,5,10
2019-09-02,08:12:24.135,17,7,2
2019-09-02,08:12:30.197,17,2,10
2019-09-02,08:18:55.059,52,7,6
2019-09-02,08:19:22.177,0,0,1
2019-09-02,08:22:14.951,17,10,4
2019-09-02,08:23:23.739,0,1,0
2019-09-02,08:24:46.420,0,0,1
2019-09-02,08:26:11.399,1,4,6
2019-09-02,08:27:01.868,1,6,10
2019-09-02,08:27:14.646,1,9,7
2019-09-02,08:27:58.017,1,7,10
2019-09-02,08:31:24.734,17,4,9
2019-09-02,08:31:45.400,17,9,0
2019-09-02,08:32:22.574,0,1,0
2019-09-02,08:39:15.193,0,0,1
2019-09-02,08:41:54.887,0,1,0
2019-09-02,08:42:20.123,17,0,10
2019-09-02,08:43:07.911,17,10,6
2019-09-02,08:44:18.061,17,6,10
2019-09-02,08:44:39.991,0,0,1
2019-09-02,08:44:49.116,17,10,0
2019-09-02,08:56:47.453,51,9,6
2019-09-02,08:58:54.437,0,1,0
2019-09-02,08:59:48.866,53,10,3
2019-09-02,09:00:03.870,1,6,4
2019-09-02,09:07:23.314,101,7,10
2019-09-02,09:09:12.722,1,4,5
2019-09-02,09:09:46.987,1,10,0
2019-09-02,09:11:03.677,79,9,0
2019-09-02,09:11:12.078,79,0,1
2019-09-02,09:11:19.391,1,10,7
2019-09-02,09:11:31.805,1,7,10
