date,time,user,source AP,destination AP
2019-09-04,00:03:28.551,0,0,1
2019-09-04,00:15:46.612,0,1,0
2019-09-04,00:17:26.754,7,6,4
2019-09-04,00:20:53.784,0,0,1
2019-09-04,00:25:57.695,0,1,0
2019-09-04,00:35:28.129,0,0,1
2019-09-04,00:48:05.634,7,6,4
2019-09-04,00:50:18.275,0,1,0
2019-09-04,00:55:32.600,0,0,1
2019-09-04,00:58:13.997,0,1,3
2019-09-04,00:59:36.293,0,3,1
2019-09-04,01:18:43.106,7,6,4
2019-09-04,01:26:58.210,0,1,0
2019-09-04,01:28:56.425,35,6,4
2019-09-04,01:31:42.663,0,0,1
2019-09-04,01:48:48.690,0,1,0
2019-09-04,01:49:20.452,7,6,4
2019-09-04,01:58:29.681,0,0,1
2019-09-04,02:11:01.822,0,1,0
2019-09-04,02:15:54.499,0,0,1
2019-09-04,02:19:58.355,7,6,4
2019-09-04,02:20:31.849,0,1,0
2019-09-04,02:31:46.524,7,6,4
2019-09-04,02:35:19.553,0,0,1
2019-09-04,02:50:05.290,0,1,3
2019-09-04,02:52:18.035,0,3,0
2019-09-04,02:54:51.737,0,0,1
2019-09-04,03:02:24.602,7,6,4
2019-09-04,03:09:43.826,0,1,0
2019-09-04,03:16:59.218,0,0,1
2019-09-04,03:26:49.777,0,1,0
2019-09-04,03:31:54.260,0,0,1
2019-09-04,03:33:00.328,7,6,4
2019-09-04,03:39:17.592,0,1,0
2019-09-04,03:46:41.618,0,0,1
2019-09-04,03:54:42.692,7,4,6
2019-09-04,03:55:07.843,7,6,4
2019-09-04,04:00:52.354,0,1,0
2019-09-04,04:10:59.640,0,0,1
2019-09-04,04:25:46.516,7,6,4
2019-09-04,04:26:43.825,6,2,8
2019-09-04,04:35:32.732,0,1,0
2019-09-04,04:40:17.851,0,0,1
2019-09-04,04:50:23.168,0,1,0
2019-09-04,04:53:50.736,0,0,1
2019-09-04,04:56:09.070,6,8,2
2019-09-04,04:56:24.609,7,6,4
2019-09-04,05:09:27.403,0,1,0
2019-09-04,05:19:34.102,0,0,1
2019-09-04,05:27:02.785,7,6,4
2019-09-04,05:37:06.026,0,1,0
2019-09-04,05:52:07.895,0,0,1
2019-09-04,05:57:40.752,7,6,4
2019-09-04,06:08:31.008,0,1,0
2019-09-04,06:13:25.316,0,0,1
2019-09-04,06:18:11.841,0,1,0
2019-09-04,06:19:48.236,0,0,3
2019-09-04,06:23:04.989,0,3,0
2019-09-04,06:28:02.028,0,0,1
2019-09-04,06:28:18.318,7,6,4
2019-09-04,06:30:35.956,0,1,0
2019-09-04,06:33:06.363,0,0,1
2019-09-04,06:37:46.195,0,1,0
2019-09-04,06:44:37.366,7,4,6
2019-09-04,06:45:02.560,7,6,4
2019-09-04,06:45:10.550,0,0,1
2019-09-04,06:50:04.173,0,1,0
2019-09-04,06:55:02.232,0,0,1
2019-09-04,07:09:30.292,0,1,0
2019-09-04,07:15:40.023,7,6,4
2019-09-04,07:31:51.383,0,0,3
2019-09-04,07:37:31.411,0,3,0
