date,time,user,source AP,destination AP
2019-09-05,12:25:53.401,63,10,0
2019-09-05,12:26:36.652,50,0,10
2019-09-05,12:27:00.192,17,7,9
2019-09-05,12:27:27.876,63,0,9
2019-09-05,12:27:55.183,17,9,7
2019-09-05,12:28:03.049,17,7,0
2019-09-05,12:28:43.807,14,7,4
2019-09-05,12:28:57.912,79,4,10
2019-09-05,12:29:05.792,79,10,0
2019-09-05,12:30:36.814,103,10,6
2019-09-05,12:31:03.660,17,0,7
2019-09-05,12:31:29.085,17,7,10
2019-09-05,12:34:33.819,53,3,9
2019-09-05,12:34:50.240,53,0,11
2019-09-05,12:35:40.587,7,6,4
2019-09-05,12:36:13.345,17,10,4
2019-09-05,12:36:31.348,14,4,7
2019-09-05,12:36:37.735,14,7,0
2019-09-05,12:36:48.125,14,0,1
2019-09-05,12:36:57.983,14,1,5
2019-09-05,12:37:24.122,14,5,0
2019-09-05,12:38:21.109,53,0,1
2019-09-05,12:39:22.377,50,10,4
2019-09-05,12:40:05.918,64,4,5
2019-09-05,12:40:11.063,64,5,0
2019-09-05,12:43:18.950,38,2,8
2019-09-05,12:46:52.003,38,8,2
2019-09-05,12:52:15.241,38,2,8
2019-09-05,12:52:48.371,79,7,4
2019-09-05,12:57:57.212,38,8,2
2019-09-05,13:05:25.490,15,8,3
2019-09-05,13:05:42.987,15,1,7
2019-09-05,13:05:59.484,15,7,0
2019-09-05,13:06:18.651,7,6,4
2019-09-05,13:06:35.330,51,6,9
2019-09-05,13:07:08.751,51,9,0
2019-09-05,13:10:10.790,38,8,2
2019-09-05,13:11:56.775,51,0,9
2019-09-05,13:12:04.110,103,0,10
2019-09-05,13:12:16.039,51,9,4
2019-09-05,13:18:46.026,15,0,1
2019-09-05,13:19:08.571,15,1,2
2019-09-05,13:19:27.593,103,10,6
2019-09-05,13:20:16.739,15,2,8
2019-09-05,13:25:03.377,63,1,0
2019-09-05,13:25:10.245,38,2,1
2019-09-05,13:25:22.148,38,1,9
2019-09-05,13:26:26.942,43,1,9
2019-09-05,13:26:34.618,38,0,10
2019-09-05,13:26:57.286,63,0,5
2019-09-05,13:27:04.039,63,3,1
2019-09-05,13:27:28.537,147,4,9
2019-09-05,13:28:01.893,38,9,10
2019-09-05,13:29:36.384,79,4,7
2019-09-05,13:29:43.514,79,7,0
2019-09-05,13:29:52.543,79,0,3
2019-09-05,13:29:59.766,79,3,8
2019-09-05,13:30:06.655,79,8,1
2019-09-05,13:34:00.702,15,8,2
2019-09-05,13:34:18.232,15,2,8
2019-09-05,13:36:56.221,7,6,4
2019-09-05,13:40:29.151,79,0,7
2019-09-05,13:40:48.934,79,7,4
2019-09-05,13:52:34.641,147,9,6
2019-09-05,13:58:07.895,6,8,2
2019-09-05,14:05:37.255,51,4,6
2019-09-05,14:05:42.430,51,6,4
2019-09-05,14:07:32.642,63,1,0
2019-09-05,14:10:02.201,35,5,4
2019-09-05,14:10:17.297,63,0,9
2019-09-05,14:10:26.268,63,3,1
2019-09-05,14:18:14.297,6,2,8
2019-09-05,14:20:08.343,56,1,3
2019-09-05,14:22:04.243,49,0,9
2019-09-05,14:22:27.084,42,0,2
2019-09-05,14:22:33.204,42,5,2
2019-09-05,14:23:04.641,42,2,8
2019-09-05,14:27:23.644,52,9,4
2019-09-05,14:28:37.218,38,8,2
2019-09-05,14:28:57.661,85,8,3
2019-09-05,14:29:57.358,85,3,8
2019-09-05,14:31:02.907,54,4,6
2019-09-05,14:31:13.846,38,2,8
2019-09-05,14:32:20.515,85,8,1
2019-09-05,14:33:21.089,53,1,3
2019-09-05,14:33:31.797,53,3,7
2019-09-05,14:34:11.253,53,7,3
2019-09-05,14:34:29.927,38,8,2
2019-09-05,14:35:47.938,51,4,7
2019-09-05,14:36:04.728,51,7,0
2019-09-05,14:37:42.382,85,1,2
2019-09-05,14:38:12.055,7,6,4
2019-09-05,14:40:54.332,38,2,0
2019-09-05,14:44:26.329,17,4,7
2019-09-05,14:44:43.345,17,7,0
2019-09-05,14:45:13.285,51,10,4
2019-09-05,14:50:22.788,53,3,10
2019-09-05,14:50:29.346,53,10,7
2019-09-05,14:50:38.530,53,7,0
2019-09-05,14:53:34.964,55,0,4
2019-09-05,14:53:59.846,53,0,3
2019-09-05,14:55:26.753,147,9,4
2019-09-05,14:57:11.066,38,3,8
2019-09-05,14:57:28.253,38,8,2
2019-09-05,14:58:29.485,38,2,8
2019-09-05,15:01:44.390,51,4,2
2019-09-05,15:05:06.357,42,0,6
2019-09-05,15:05:29.162,42,3,2
2019-09-05,15:05:37.362,38,8,2
2019-09-05,15:06:45.015,79,4,7
2019-09-05,15:06:55.960,79,7,0
2019-09-05,15:07:02.891,62,0,1
2019-09-05,15:07:41.044,38,8,2
2019-09-05,15:07:52.594,38,2,8
2019-09-05,15:08:01.289,38,8,2
2019-09-05,15:08:10.138,38,2,8
2019-09-05,15:08:25.990,289,9,3
2019-09-05,15:08:50.149,7,6,4
2019-09-05,15:09:00.961,17,0,10
2019-09-05,15:09:50.334,38,8,2
2019-09-05,15:10:39.591,62,8,2
2019-09-05,15:10:56.915,17,10,4
2019-09-05,15:11:05.693,64,0,7
2019-09-05,15:11:15.217,62,2,6
2019-09-05,15:11:20.240,64,7,9
2019-09-05,15:11:44.330,64,9,4
2019-09-05,15:12:18.696,62,6,5
2019-09-05,15:12:26.734,62,5,10
2019-09-05,15:12:43.896,51,4,7
2019-09-05,15:13:03.312,51,7,0
2019-09-05,15:13:11.875,103,4,0
2019-09-05,15:13:53.336,289,3,7
2019-09-05,15:14:11.442,289,7,9
2019-09-05,15:14:24.868,62,10,11
2019-09-05,15:14:45.195,289,9,0
2019-09-05,15:15:05.946,62,11,7
2019-09-05,15:16:01.419,62,7,10
2019-09-05,15:16:27.431,62,10,3
2019-09-05,15:17:00.444,289,0,5
2019-09-05,15:17:06.425,289,5,2
2019-09-05,15:20:08.690,289,2,10
2019-09-05,15:21:11.597,35,6,4
2019-09-05,15:26:09.778,15,8,3
2019-09-05,15:26:22.717,38,8,2
2019-09-05,15:26:57.458,63,1,10
2019-09-05,15:27:29.117,15,3,1
2019-09-05,15:27:35.353,15,1,3
2019-09-05,15:27:47.452,15,9,0
2019-09-05,15:29:39.146,15,0,9
2019-09-05,15:29:55.587,15,9,1
2019-09-05,15:30:10.655,15,1,8
2019-09-05,15:30:18.850,63,0,3
2019-09-05,15:30:28.963,63,3,1
2019-09-05,15:32:57.009,289,10,4
2019-09-05,15:33:13.918,289,4,10
2019-09-05,15:39:28.424,7,6,4
2019-09-05,15:46:33.204,6,8,2
2019-09-05,15:52:36.437,53,3,7
2019-09-05,15:53:04.976,53,7,0
2019-09-05,15:55:05.742,53,0,3
2019-09-05,15:57:07.051,63,1,8
2019-09-05,15:57:38.961,63,8,5
2019-09-05,15:57:47.037,63,10,0
2019-09-05,15:59:13.536,63,0,7
2019-09-05,15:59:27.882,63,3,5
2019-09-05,15:59:35.822,63,5,2
2019-09-05,16:00:28.780,63,2,1
2019-09-05,16:00:42.072,63,1,8
2019-09-05,16:04:21.958,62,1,2
2019-09-05,16:07:29.304,38,2,8
2019-09-05,16:08:42.899,189,9,8
2019-09-05,16:10:01.169,17,4,10
2019-09-05,16:10:07.054,116,11,8
2019-09-05,16:10:12.380,17,7,0
2019-09-05,16:10:32.396,50,4,10
