date,time,user,source AP,destination AP
2019-09-03,00:01:39.894,6,2,8
2019-09-03,00:17:38.075,7,6,4
2019-09-03,00:35:25.387,0,1,0
2019-09-03,00:42:09.154,0,0,1
2019-09-03,00:48:16.168,7,6,4
2019-09-03,00:52:15.005,0,1,0
2019-09-03,01:14:07.792,0,0,1
2019-09-03,01:18:53.207,7,6,4
2019-09-03,01:29:54.787,6,8,2
2019-09-03,01:38:47.889,0,1,0
2019-09-03,01:43:29.575,0,0,3
2019-09-03,01:46:01.034,0,3,1
2019-09-03,01:49:31.281,7,6,4
2019-09-03,01:55:35.633,0,1,0
2019-09-03,02:07:46.109,0,0,1
2019-09-03,02:10:12.725,0,1,3
2019-09-03,02:12:57.480,0,3,1
2019-09-03,02:20:08.438,7,6,4
2019-09-03,02:27:42.331,0,1,0
2019-09-03,02:28:44.798,6,2,8
2019-09-03,02:50:45.995,7,6,4
2019-09-03,03:14:20.899,0,1,0
2019-09-03,03:19:02.042,0,0,3
2019-09-03,03:20:49.884,0,3,1
2019-09-03,03:21:24.200,7,6,4
2019-09-03,03:26:48.154,0,1,0
2019-09-03,03:27:34.757,6,8,2
2019-09-03,03:33:34.110,0,0,1
2019-09-03,03:45:52.382,0,1,0
2019-09-03,03:52:02.368,7,6,4
2019-09-03,03:59:54.831,0,0,1
2019-09-03,04:05:51.264,0,1,0
2019-09-03,04:10:33.580,0,0,1
2019-09-03,04:22:40.651,7,6,4
2019-09-03,04:26:25.674,6,2,8
2019-09-03,04:53:18.723,7,6,4
2019-09-03,04:54:44.506,0,1,3
2019-09-03,04:57:11.006,0,3,1
2019-09-03,05:01:57.885,0,1,0
2019-09-03,05:16:18.865,0,0,1
2019-09-03,05:23:57.105,7,6,4
2019-09-03,05:25:17.582,6,8,2
2019-09-03,05:41:43.711,0,1,0
2019-09-03,05:46:19.231,0,0,1
2019-09-03,05:54:34.983,7,6,4
2019-09-03,05:54:43.562,6,2,8
2019-09-03,05:56:25.917,0,1,0
2019-09-03,06:03:27.924,0,0,1
2019-09-03,06:08:26.941,0,1,0
2019-09-03,06:13:18.235,0,0,1
2019-09-03,06:23:24.120,0,1,0
2019-09-03,06:24:08.518,6,8,2
2019-09-03,06:25:13.159,7,6,4
2019-09-03,06:27:57.843,0,0,1
2019-09-03,06:53:33.494,6,2,8
2019-09-03,06:55:51.136,7,6,4
2019-09-03,07:00:05.684,0,1,0
2019-09-03,07:05:14.427,35,6,4
2019-09-03,07:07:16.210,0,0,1
2019-09-03,07:22:26.780,0,1,0
2019-09-03,07:22:58.510,6,8,2
2019-09-03,07:26:29.325,7,6,4
2019-09-03,07:31:38.315,0,0,1
2019-09-03,07:34:08.973,0,1,0
2019-09-03,07:46:36.541,0,0,1
2019-09-03,07:57:07.810,7,6,4
2019-09-03,08:01:10.349,0,1,0
2019-09-03,08:06:04.833,0,0,1
2019-09-03,08:27:45.988,7,6,4
2019-09-03,08:30:13.640,0,1,0
2019-09-03,08:57:11.500,0,0,1
2019-09-03,08:58:24.283,7,6,4
2019-09-03,08:59:14.431,63,1,10
2019-09-03,08:59:45.370,0,1,0
2019-09-03,09:00:55.272,63,0,3
2019-09-03,09:01:16.078,63,3,0
2019-09-03,09:07:48.924,51,6,4
2019-09-03,09:09:03.125,51,4,7
2019-09-03,09:09:18.205,51,7,0
2019-09-03,09:14:40.597,0,0,1
2019-09-03,09:18:21.379,91,9,2
2019-09-03,09:18:57.741,51,0,7
2019-09-03,09:19:06.764,53,3,7
2019-09-03,09:19:13.533,51,7,4
2019-09-03,09:22:22.249,53,0,5
2019-09-03,09:29:01.833,7,6,4
2019-09-03,09:32:11.002,49,7,10
2019-09-03,09:32:26.626,49,10,5
2019-09-03,09:32:43.049,49,5,2
2019-09-03,09:39:19.509,0,1,0
2019-09-03,09:41:46.913,42,0,3
2019-09-03,09:42:03.386,42,3,4
2019-09-03,09:42:36.058,42,4,2
2019-09-03,09:42:44.124,45,5,8
2019-09-03,09:43:44.075,49,2,6
2019-09-03,09:44:12.862,49,6,5
2019-09-03,09:44:54.699,49,5,2
2019-09-03,09:47:20.164,49,2,8
2019-09-03,09:48:50.679,63,1,0
2019-09-03,09:49:07.522,63,0,10
2019-09-03,09:51:33.256,63,10,0
2019-09-03,09:55:53.466,40,0,11
2019-09-03,09:56:05.043,40,11,0
